symbol,date,open,high,low,close,volume,change,changePercent,vwap
MSFT,2023-12-29,376.0,377.16,373.48,376.04,18730838,0.04,0.0106383,375.67
MSFT,2023-12-28,375.37,376.46,374.16,375.28,14327013,-0.09,-0.02397634,375.3175
MSFT,2023-12-27,373.69,375.06,372.81,374.07,14905412,0.38,0.10169,373.9075
MSFT,2023-12-26,375.0,376.94,373.5,374.66,12673100,-0.34,-0.09066667,375.025
MSFT,2023-12-22,373.68,375.18,372.71,374.58,17107500,0.9,0.24085,374.0375
MSFT,2023-12-21,372.56,374.41,370.04,373.54,17708006,0.98,0.26304,372.6375
MSFT,2023-12-20,375.0,376.03,370.53,370.62,26316700,-4.38,-1.17,373.045
MSFT,2023-12-19,371.49,373.26,369.84,373.26,20603700,1.77,0.47646,371.9625
MSFT,2023-12-18,369.45,373.0,368.68,372.65,21802900,3.2,0.86615,370.945
MSFT,2023-12-15,366.85,372.4,366.28,370.73,78502324,3.88,1.06,369.065
MSFT,2023-12-14,373.31,373.76,364.13,365.93,43277500,-7.38,-1.98,369.2825
MSFT,2023-12-13,376.02,377.64,370.77,374.37,30955531,-1.65,-0.43881,374.7
MSFT,2023-12-12,370.85,374.42,370.46,374.38,24838300,3.53,0.95187,372.5275
MSFT,2023-12-11,368.48,371.6,366.1,371.3,27708800,2.82,0.76531,369.37
MSFT,2023-12-08,369.2,374.46,368.23,374.23,20154400,5.03,1.36,371.53
MSFT,2023-12-07,368.23,371.45,366.32,370.95,23118900,2.72,0.73867,369.2375
MSFT,2023-12-06,373.54,374.18,368.03,368.8,21182100,-4.74,-1.27,371.1375
MSFT,2023-12-05,366.45,373.08,365.62,372.52,23065035,6.07,1.66,369.4175
MSFT,2023-12-04,369.1,369.52,362.9,369.14,32063305,0.04,0.01083717,367.665
MSFT,2023-12-01,376.76,378.16,371.31,374.51,33040500,-2.25,-0.5972,375.185
MSFT,2023-11-30,378.49,380.09,375.47,378.91,30554415,0.42,0.11097,378.24
MSFT,2023-11-29,383.76,384.3,377.44,378.85,28963400,-4.91,-1.28,381.0875
MSFT,2023-11-28,378.35,383.0,378.16,382.7,20453112,4.35,1.15,380.5525
MSFT,2023-11-27,376.78,380.64,376.2,378.61,22179228,1.83,0.48569,378.0575
MSFT,2023-11-24,377.33,377.97,375.14,377.43,10176649,0.1,0.026502,376.9675
MSFT,2023-11-22,378.0,379.79,374.97,377.85,23361184,-0.15,-0.03968254,377.6525
MSFT,2023-11-21,375.67,376.22,371.12,373.07,28423145,-2.6,-0.6921,374.02
MSFT,2023-11-20,371.22,378.87,371.0,377.44,52528964,6.22,1.68,374.6325
MSFT,2023-11-17,373.61,374.37,367.0,369.85,40325371,-3.76,-1.01,371.2075
MSFT,2023-11-16,370.96,376.35,370.18,376.17,27182315,5.21,1.4,373.415
MSFT,2023-11-15,371.28,373.13,367.11,369.67,26860100,-1.61,-0.43363,370.2975
MSFT,2023-11-14,371.01,371.95,367.35,370.27,27683900,-0.74,-0.19946,370.145
MSFT,2023-11-13,368.22,368.47,365.9,366.68,19986506,-1.54,-0.41823,367.3175
MSFT,2023-11-10,361.49,370.1,361.07,369.67,28065164,8.18,2.26,365.5825
MSFT,2023-11-09,362.3,364.79,360.36,360.69,24847331,-1.61,-0.44438,362.035
MSFT,2023-11-08,361.68,363.87,360.55,363.2,26767828,1.52,0.42026,362.325
MSFT,2023-11-07,359.4,362.46,357.63,360.53,25833931,1.13,0.31441,360.005
MSFT,2023-11-06,353.45,357.54,353.35,356.53,23828301,3.08,0.87141,355.2175
MSFT,2023-11-03,349.63,354.39,347.33,352.8,23637700,3.17,0.90667,351.0375
MSFT,2023-11-02,347.24,348.83,344.77,348.32,24348100,1.08,0.31102,347.29
MSFT,2023-11-01,339.79,347.42,339.65,346.07,28158819,6.28,1.85,343.2325
MSFT,2023-10-31,338.85,339.0,334.69,338.11,20265300,-0.74,-0.21839,337.6625
MSFT,2023-10-30,333.41,339.45,331.83,337.31,22828100,3.9,1.17,335.5
MSFT,2023-10-27,330.43,336.72,328.4,329.81,29856522,-0.615,-0.18763,331.34
MSFT,2023-10-26,340.54,341.63,326.94,327.89,37828543,-12.65,-3.71,334.25
MSFT,2023-10-25,345.02,346.2,337.62,340.67,55053828,-4.35,-1.26,342.3775
MSFT,2023-10-24,331.3,331.84,327.6,330.53,31153600,-0.77,-0.23242,330.3175
MSFT,2023-10-23,325.47,332.73,324.39,329.32,24374748,3.85,1.18,327.9775
MSFT,2023-10-20,331.72,331.92,325.45,326.67,25027715,-5.05,-1.52,328.94
MSFT,2023-10-19,332.15,336.88,330.91,331.32,25052100,-0.83,-0.24989,332.815
MSFT,2023-10-18,332.49,335.59,328.3,330.11,23153602,-2.38,-0.71581,331.6225
MSFT,2023-10-17,329.59,333.46,327.41,332.06,18338523,2.47,0.74942,330.63
MSFT,2023-10-16,331.05,336.14,330.6,332.64,22158048,1.59,0.48029,332.6075
MSFT,2023-10-13,332.38,333.83,326.36,327.73,21085695,-4.65,-1.4,330.075
MSFT,2023-10-12,330.57,333.63,328.72,331.16,19313100,0.595,0.17848,331.02
MSFT,2023-10-11,331.21,332.82,329.14,332.42,20063246,1.21,0.36533,331.3975
MSFT,2023-10-10,330.96,331.1,327.67,328.39,20557100,-2.57,-0.77653,329.53
MSFT,2023-10-09,324.75,330.3,323.18,329.82,19891200,5.07,1.56,327.0125
MSFT,2023-10-06,316.55,329.19,316.3,327.26,25673630,10.71,3.38,322.325
MSFT,2023-10-05,319.09,319.98,314.9,319.36,16965629,0.27,0.08461563,318.3325
MSFT,2023-10-04,314.03,320.04,314.0,318.96,20720144,4.93,1.57,316.7575
MSFT,2023-10-03,320.83,321.39,311.21,313.39,21033500,-7.44,-2.32,316.705
MSFT,2023-10-02,316.28,321.89,315.18,321.8,20570006,5.52,1.75,318.7875
MSFT,2023-09-29,317.75,319.47,314.98,315.75,24147300,-2.0,-0.62943,316.9875
MSFT,2023-09-28,310.99,315.48,309.45,313.64,19683600,2.65,0.85212,312.39
MSFT,2023-09-27,312.3,314.3,309.69,312.79,19410100,0.49,0.1569,312.27
MSFT,2023-09-26,315.13,315.88,310.02,312.14,26297600,-2.99,-0.94881,313.2925
MSFT,2023-09-25,316.59,317.67,315.0,317.54,17836000,0.95,0.30007,316.7
MSFT,2023-09-22,321.32,321.45,316.15,317.01,21447900,-4.31,-1.34,318.9825
MSFT,2023-09-21,319.26,325.35,315.0,319.53,35560400,0.27,0.08457057,319.785
MSFT,2023-09-20,329.51,329.59,320.51,320.77,21436525,-8.74,-2.65,325.095
MSFT,2023-09-19,326.17,329.39,324.51,328.65,16514487,2.48,0.76034,327.18
MSFT,2023-09-18,327.8,330.4,326.36,329.06,16834208,1.26,0.38438,328.405
MSFT,2023-09-15,336.92,337.4,329.65,330.22,37679800,-6.7,-1.99,333.5475
MSFT,2023-09-14,339.15,340.86,336.57,338.7,20267048,-0.448,-0.13268,338.82
MSFT,2023-09-13,331.31,336.85,331.17,336.06,16544412,4.75,1.43,333.8475
MSFT,2023-09-12,335.82,336.79,331.48,331.77,17565500,-4.05,-1.21,333.965
MSFT,2023-09-11,337.24,338.42,335.43,337.94,16583324,0.7,0.20757,337.2575
MSFT,2023-09-08,330.09,336.16,329.46,334.27,19548165,4.18,1.27,332.495
MSFT,2023-09-07,331.29,333.08,329.03,329.91,18381000,-1.38,-0.41655,330.8275
MSFT,2023-09-06,333.38,334.46,330.18,332.88,17535800,-0.5,-0.14998,332.725
MSFT,2023-09-05,329.0,334.85,328.66,333.55,18553900,4.55,1.38,331.515
MSFT,2023-09-01,331.31,331.99,326.78,328.66,14942024,-2.65,-0.79986,329.685
MSFT,2023-08-31,329.2,330.91,326.78,327.76,26411000,-1.44,-0.43742,328.6625
MSFT,2023-08-30,328.67,329.81,326.45,328.79,15222110,0.12,0.03651079,328.43
MSFT,2023-08-29,321.88,328.98,321.88,328.41,19284600,6.53,2.03,325.2875
MSFT,2023-08-28,325.66,326.15,321.72,323.7,14808500,-1.96,-0.60185,324.3075
MSFT,2023-08-25,321.47,325.36,318.8,322.98,21684104,1.51,0.46972,322.1525
MSFT,2023-08-24,332.85,332.98,319.96,319.97,23281434,-12.88,-3.87,326.44
MSFT,2023-08-23,323.82,329.2,323.46,327.0,21166400,3.18,0.98203,325.87
MSFT,2023-08-22,325.5,326.08,321.46,322.46,16102024,-3.04,-0.93395,323.875
MSFT,2023-08-21,317.93,322.77,317.04,321.88,24040000,3.95,1.24,319.905
MSFT,2023-08-18,314.49,318.38,311.55,316.48,24755012,1.99,0.63277,315.225
MSFT,2023-08-17,320.54,321.87,316.21,316.88,21257200,-3.66,-1.14,318.875
MSFT,2023-08-16,320.8,324.42,319.8,320.4,20698900,-0.4,-0.12469,321.355
MSFT,2023-08-15,323.0,325.09,320.9,321.86,16966300,-1.14,-0.35294,322.7125
MSFT,2023-08-14,321.39,324.06,320.08,324.04,18836139,2.65,0.82454,322.3925
MSFT,2023-08-11,320.26,322.41,319.21,321.01,24355500,0.75,0.23418,320.7225
MSFT,2023-08-10,326.02,328.26,321.18,322.93,20113725,-3.08,-0.94779,324.5975
MSFT,2023-08-09,326.47,327.11,321.05,322.23,22373300,-4.24,-1.3,324.215
MSFT,2023-08-08,326.96,328.75,323.0,326.05,22327600,-0.91,-0.27832,326.19
MSFT,2023-08-07,328.37,331.11,327.52,330.11,17741526,1.74,0.52989,329.2775
MSFT,2023-08-04,331.88,335.14,327.24,327.78,23741500,-4.1,-1.24,330.51
MSFT,2023-08-03,326.0,329.88,325.95,326.66,18360352,0.66,0.20245,327.1225
MSFT,2023-08-02,333.63,333.63,326.36,327.5,27761300,-6.13,-1.84,330.28
